pulse_years,Teff_K,radius_cm,photon_luminosity_erg_s,nuclear_power_erg_s,logg,run
1043056.4364848862,6398.352704157825,12541010308.566597,1.878275771834841e+32,7.14766206135027e+31,4.926246584352607,33
1049456.4364848863,6398.460268407898,12502162432.214775,1.866782774853665e+32,7.108780747991305e+31,4.928941359817467,33
1055856.4364848863,6398.549450525138,12463706013.575157,1.855419499853385e+32,7.0701557189078605e+31,4.931617240875548,33
1062256.4364848863,6398.620330966517,12425637739.977045,1.8441843954733942e+32,7.031786840804289e+31,4.934274258146091,33
1068656.4364848863,6398.673394970149,12387957113.352352,1.8330772176555775e+32,6.99367393351977e+31,4.936912247666477,33
1075056.4364848863,6398.709450176215,12350662702.223698,1.8220978035474123e+32,6.955816770964631e+31,4.939531111507668,33
1081456.4364848863,6398.728812132781,12313751791.144165,1.8112450397911668e+32,6.918215073974384e+31,4.942130843518367,33
1087856.4364848863,6398.732610460175,12277221117.351036,1.8005185715148023e+32,6.880868504360965e+31,4.9447114785795305,33
1094256.4364848863,6398.72183041185,12241067863.063541,1.7899179956932306e+32,6.843776766488824e+31,4.947273022777335,33
1100656.4364848863,6398.696486950816,12205286021.420076,1.7794408863796254e+32,6.806939520053635e+31,4.949815711564216,33
1107056.4364848863,6398.667522880288,12169933655.896255,1.7691155533015603e+32,6.770356857994189e+31,4.952335212637465,33
1113456.4364848863,6398.620997509197,12134950992.472097,1.758908313172296e+32,6.7340282098565695e+31,4.954835580509789,33
1119856.4364848863,6398.559473862099,12100312712.330105,1.748814046488525e+32,6.697952891684479e+31,4.957318445867435,33
1126256.4364848863,6398.4829639544405,12066015547.257444,1.738831238082671e+32,6.662130234604717e+31,4.959783872865922,33
1132656.4364848863,6398.392158875078,12032056545.639824,1.728959210048009e+32,6.626559533275292e+31,4.962231905508397,33
1139056.4364848863,6398.288201636508,11998434608.141874,1.719198295614738e+32,6.591240079767092e+31,4.964662456155226,33
1145456.4364848863,6398.171803271893,11965145607.702724,1.7095474792178145e+32,6.556171139284582e+31,4.967075657916923,33
1151856.4364848863,6398.042691296592,11932185147.171679,1.7000046219842104e+32,6.521351921373031e+31,4.969471666969733,33
1158256.4364848863,6397.901126619878,11899549225.757408,1.690568284691665e+32,6.486781589662862e+31,4.971850614170197,33
1164656.4364848863,6397.747399217031,11867234037.012411,1.6812371229514307e+32,6.452459273312352e+31,4.974212619435612,33
1171056.4364848863,6397.581788289646,11835235691.456575,1.6720097655839295e+32,6.418384061374177e+31,4.976557811899754,33
1177456.4364848863,6397.4111059990255,11803568510.463676,1.662896773483512e+32,6.384555196256483e+31,4.978884983794265,34
1183856.4364848863,6397.2417877209655,11772241447.899157,1.6539066149971715e+32,6.350972028545899e+31,4.981193312277976,34
1190256.4364848863,6397.060439386815,11741203431.177498,1.645010377675836e+32,6.31763338897412e+31,4.98348640838361,34
1196656.4364848863,6396.86718583622,11710452231.9694,1.636207088231598e+32,6.284538117347511e+31,4.9857643002261405,34
1203056.4364848863,6396.662193722805,11679985269.374142,1.6274957235154374e+32,6.25168502435712e+31,4.988027043916623,34
1209456.4364848863,6396.445471049522,11649801620.437986,1.618875566565027e+32,6.219072984055136e+31,4.990274574003825,34
1215856.4364848863,6396.217838792602,11619899413.373808,1.6103464605380272e+32,6.18670084700873e+31,4.992506896740409,34
